case_id,hypothesis,verdict,check,kind,passed,detail,claimed_evidence_ids,final_state
pay_00121298,unlinked_partial_refund,REJECTED,E1_evidence_records_exist,existence,PASS,proposed refund ids ['rfnd_01952574']; resolved ['rfnd_01952574'] against the record store,rfnd_01952574,HUMAN_REVIEW_REQUIRED
pay_00121298,unlinked_partial_refund,REJECTED,E2_refund_is_processed,existence,PASS,refund rfnd_01952574 status is processed,rfnd_01952574,HUMAN_REVIEW_REQUIRED
pay_00121298,unlinked_partial_refund,REJECTED,E3_refund_not_linked_elsewhere,linkage,PASS,refund rfnd_01952574 payment_id is None; this case is payment pay_00121298,rfnd_01952574,HUMAN_REVIEW_REQUIRED
pay_00121298,unlinked_partial_refund,REJECTED,E4_reference_identifies_this_customer,linkage,FAIL,refund reference 'ADJ/CUST-0007/partial' vs order customer 'CUST-0072' -> NO MATCH,rfnd_01952574,HUMAN_REVIEW_REQUIRED
pay_00121298,unlinked_partial_refund,REJECTED,E5_amount_equals_shortfall,amount,PASS,refund amount 698810 vs shortfall 698810,rfnd_01952574,HUMAN_REVIEW_REQUIRED
pay_00121298,unlinked_partial_refund,REJECTED,E6_timing_is_plausible,timing,FAIL,refund 2026-06-28 must fall between capture 2026-06-30 and settlement+1d 2026-07-03,rfnd_01952574,HUMAN_REVIEW_REQUIRED
pay_00121298,unlinked_partial_refund,REJECTED,E7_invariant_restored,invariant,PASS,"shadow ledger net with refund applied = 6911935, observed settlement net = 6911935",rfnd_01952574,HUMAN_REVIEW_REQUIRED
pay_003478CC,unlinked_partial_refund,VERIFIED,E1_evidence_records_exist,existence,PASS,proposed refund ids ['rfnd_003431D5']; resolved ['rfnd_003431D5'] against the record store,rfnd_003431D5,AUTO_RESOLVED
pay_003478CC,unlinked_partial_refund,VERIFIED,E2_refund_is_processed,existence,PASS,refund rfnd_003431D5 status is processed,rfnd_003431D5,AUTO_RESOLVED
pay_003478CC,unlinked_partial_refund,VERIFIED,E3_refund_not_linked_elsewhere,linkage,PASS,refund rfnd_003431D5 payment_id is None; this case is payment pay_003478CC,rfnd_003431D5,AUTO_RESOLVED
pay_003478CC,unlinked_partial_refund,VERIFIED,E4_reference_identifies_this_customer,linkage,PASS,refund reference 'CUST-0081/refund posted' vs order customer 'CUST-0081' -> match,rfnd_003431D5,AUTO_RESOLVED
pay_003478CC,unlinked_partial_refund,VERIFIED,E5_amount_equals_shortfall,amount,PASS,refund amount 1272670 vs shortfall 1272670,rfnd_003431D5,AUTO_RESOLVED
pay_003478CC,unlinked_partial_refund,VERIFIED,E6_timing_is_plausible,timing,PASS,refund 2026-06-28 must fall between capture 2026-06-27 and settlement+1d 2026-06-30,rfnd_003431D5,AUTO_RESOLVED
pay_003478CC,unlinked_partial_refund,VERIFIED,E7_invariant_restored,invariant,PASS,"shadow ledger net with refund applied = 3355271, observed settlement net = 3355271",rfnd_003431D5,AUTO_RESOLVED
pay_0048CBEF,unlinked_partial_refund,REJECTED,E1_evidence_records_exist,existence,PASS,proposed refund ids ['rfnd_003431D5']; resolved ['rfnd_003431D5'] against the record store,rfnd_003431D5,HUMAN_REVIEW_REQUIRED
pay_0048CBEF,unlinked_partial_refund,REJECTED,E2_refund_is_processed,existence,PASS,refund rfnd_003431D5 status is processed,rfnd_003431D5,HUMAN_REVIEW_REQUIRED
pay_0048CBEF,unlinked_partial_refund,REJECTED,E3_refund_not_linked_elsewhere,linkage,PASS,refund rfnd_003431D5 payment_id is None; this case is payment pay_0048CBEF,rfnd_003431D5,HUMAN_REVIEW_REQUIRED
pay_0048CBEF,unlinked_partial_refund,REJECTED,E4_reference_identifies_this_customer,linkage,FAIL,refund reference 'CUST-0081/refund posted' vs order customer 'CUST-0011' -> NO MATCH,rfnd_003431D5,HUMAN_REVIEW_REQUIRED
pay_0048CBEF,unlinked_partial_refund,REJECTED,E5_amount_equals_shortfall,amount,PASS,refund amount 1272670 vs shortfall 1272670,rfnd_003431D5,HUMAN_REVIEW_REQUIRED
pay_0048CBEF,unlinked_partial_refund,REJECTED,E6_timing_is_plausible,timing,FAIL,refund 2026-06-28 must fall between capture 2026-06-30 and settlement+1d 2026-07-03,rfnd_003431D5,HUMAN_REVIEW_REQUIRED
pay_0048CBEF,unlinked_partial_refund,REJECTED,E7_invariant_restored,invariant,PASS,"shadow ledger net with refund applied = -427498, observed settlement net = -427498",rfnd_003431D5,HUMAN_REVIEW_REQUIRED
pay_00526F48,unlinked_partial_refund,REJECTED,E1_evidence_records_exist,existence,PASS,proposed refund ids ['rfnd_0245935A']; resolved ['rfnd_0245935A'] against the record store,rfnd_0245935A,HUMAN_REVIEW_REQUIRED
pay_00526F48,unlinked_partial_refund,REJECTED,E2_refund_is_processed,existence,PASS,refund rfnd_0245935A status is processed,rfnd_0245935A,HUMAN_REVIEW_REQUIRED
pay_00526F48,unlinked_partial_refund,REJECTED,E3_refund_not_linked_elsewhere,linkage,PASS,refund rfnd_0245935A payment_id is None; this case is payment pay_00526F48,rfnd_0245935A,HUMAN_REVIEW_REQUIRED
pay_00526F48,unlinked_partial_refund,REJECTED,E4_reference_identifies_this_customer,linkage,FAIL,refund reference 'ADJ/CUST-0068/partial' vs order customer 'CUST-0069' -> NO MATCH,rfnd_0245935A,HUMAN_REVIEW_REQUIRED
pay_00526F48,unlinked_partial_refund,REJECTED,E5_amount_equals_shortfall,amount,PASS,refund amount 230710 vs shortfall 230710,rfnd_0245935A,HUMAN_REVIEW_REQUIRED
pay_00526F48,unlinked_partial_refund,REJECTED,E6_timing_is_plausible,timing,FAIL,refund 2026-06-14 must fall between capture 2026-06-02 and settlement+1d 2026-06-05,rfnd_0245935A,HUMAN_REVIEW_REQUIRED
pay_00526F48,unlinked_partial_refund,REJECTED,E7_invariant_restored,invariant,PASS,"shadow ledger net with refund applied = 1412766, observed settlement net = 1412766",rfnd_0245935A,HUMAN_REVIEW_REQUIRED
