case_id,order_id,payment_id,state,exception_type,captured_inr,expected_net_inr,observed_net_inr,difference_inr,settlement_id,settlement_date,invariants_failed,secondary_findings,investigator,hypothesis,verdict,verification_score,decision_reason,suggested_action
pay_0001DA30,ord_0001BE49,pay_0001DA30,MATCHED,,2285.00,2231.07,2231.07,,setl_0001E873,2026-06-21,,,,,,,,
pay_0004930A,ord_000477ED,pay_0004930A,MATCHED,,66441.00,64872.99,64872.99,,setl_00043C9C,2026-06-30,,,,,,,,
pay_00069E09,ord_0006A8BD,pay_00069E09,MATCHED,,17948.00,17524.43,17524.43,,setl_00067166,2026-06-15,,,,,,,,
pay_0007EF01,ord_00079E39,pay_0007EF01,MATCHED,,77019.00,75201.35,75201.35,,setl_00074046,2026-06-17,,,,,,,,
pay_00121298,ord_00123197,pay_00121298,HUMAN_REVIEW_REQUIRED,EXCEPTION_UNEXPLAINED_SHORTFALL,77947.00,76107.45,69119.35,6988.10,setl_0012D881,2026-07-02,I3_net_matches_shadow_ledger,,openai/gpt-oss-120b,unlinked_partial_refund,REJECTED,5 of 7 evidence checks passed,Evidence Gate rejected the hypothesis 'unlinked_partial_refund': refund reference 'ADJ/CUST-0007/partial' vs order customer 'CUST-0072' -> NO MATCH,Do not net this against the proposed refund. Identify the true counterparty of the deduction with the provider before closing.
pay_0013F8B6,ord_00134D15,pay_0013F8B6,MATCHED,,81646.00,79719.15,79719.15,,setl_0013A096,2026-06-18,,,,,,,,
pay_0017BC9F,ord_0017D62C,pay_0017BC9F,MATCHED,,20840.00,20348.18,20348.18,,setl_0017157D,2026-06-17,,,,,,,,
pay_001990C7,ord_0019631D,pay_001990C7,MATCHED,,24965.00,24375.83,24375.83,,setl_00196B9F,2026-06-03,,,,,,,,
pay_00201B6D,ord_002015EF,pay_00201B6D,HUMAN_REVIEW_REQUIRED,EXCEPTION_MISSING_SETTLEMENT,24359.00,23784.13,,23784.13,,,,,,,,,"Captured funds have no settlement record. The money is outstanding; LedgerGuard cannot close this, it can only report it.",Raise a settlement query with the provider for this payment.
pay_0024C976,ord_0024105A,pay_0024C976,MATCHED,,7730.00,5699.07,5699.07,,setl_0024D4D1,2026-06-14,,,,,,,,
pay_0029AD38,ord_0029B12F,pay_0029AD38,AUTO_RESOLVED,EXCEPTION_FEE_MISMATCH,89164.00,87059.73,86429.61,-630.12,setl_0029167F,2026-06-27,I2_fees_and_tax_match_schedule; I3_net_matches_shadow_ledger,,,,,,Fee and tax reconciled against the independent fee schedule; the exact variance is quantified.,No action; classified and closed by the deterministic engine.
pay_00331E97,ord_0033ECE4,pay_00331E97,MATCHED,,52205.00,50972.96,50972.96,,setl_0033A0DC,2026-06-21,,,,,,,,
pay_003478CC,ord_0034877E,pay_003478CC,AUTO_RESOLVED,EXCEPTION_UNEXPLAINED_SHORTFALL,47398.00,46279.41,33552.71,12726.70,setl_0034CA22,2026-06-29,I3_net_matches_shadow_ledger,,openai/gpt-oss-120b,unlinked_partial_refund,VERIFIED,7 of 7 evidence checks passed,"Hypothesis 'unlinked_partial_refund' verified independently: 7 of 7 evidence checks passed, and the shadow ledger balances once the evidence is applied.",No action; evidence-backed classification closed automatically.
pay_00351A3E,ord_0035BFCE,pay_00351A3E,MATCHED,,11728.00,11451.22,11451.22,,setl_0035FAA7,2026-06-06,,,,,,,,
pay_0037DAA0,ord_0037B003,pay_0037DAA0,AUTO_RESOLVED,EXCEPTION_FEE_MISMATCH,10655.00,10403.54,10256.04,-147.50,setl_00373C9A,2026-06-23,I2_fees_and_tax_match_schedule; I3_net_matches_shadow_ledger,,,,,,Fee and tax reconciled against the independent fee schedule; the exact variance is quantified.,No action; classified and closed by the deterministic engine.
pay_0048CBEF,ord_00489B87,pay_0048CBEF,HUMAN_REVIEW_REQUIRED,EXCEPTION_UNEXPLAINED_SHORTFALL,8656.00,8451.72,-4274.98,12726.70,setl_0048FFC8,2026-07-02,I3_net_matches_shadow_ledger,,openai/gpt-oss-120b,unlinked_partial_refund,REJECTED,5 of 7 evidence checks passed,Evidence Gate rejected the hypothesis 'unlinked_partial_refund': refund reference 'CUST-0081/refund posted' vs order customer 'CUST-0011' -> NO MATCH,Do not net this against the proposed refund. Identify the true counterparty of the deduction with the provider before closing.
pay_00526F48,ord_00523018,pay_00526F48,HUMAN_REVIEW_REQUIRED,EXCEPTION_UNEXPLAINED_SHORTFALL,16832.00,16434.76,14127.66,2307.10,setl_00522EE9,2026-06-04,I3_net_matches_shadow_ledger,,openai/gpt-oss-120b,unlinked_partial_refund,REJECTED,5 of 7 evidence checks passed,Evidence Gate rejected the hypothesis 'unlinked_partial_refund': refund reference 'ADJ/CUST-0068/partial' vs order customer 'CUST-0069' -> NO MATCH,Do not net this against the proposed refund. Identify the true counterparty of the deduction with the provider before closing.
pay_00623BB3,ord_00622297,pay_00623BB3,MATCHED,,51515.00,30879.00,30879.00,,setl_00621F19,2026-06-03,,,,,,,,
pay_0068DF3B,ord_0068A501,pay_0068DF3B,AUTO_RESOLVED,EXCEPTION_DUPLICATE_RECORD,77431.00,75603.63,75603.63,-77431.00,setl_00687447,2026-06-21,,,,,,,"Duplicate ingestion proven by identifier and content match; the duplicate is suppressed, not paid.",No action; classified and closed by the deterministic engine.
pay_0071FC91,ord_0071638A,pay_0071FC91,MATCHED,,45484.00,44410.58,44410.58,,setl_00714475,2026-06-21,,,,,,,,
pay_00751478,ord_00757D21,pay_00751478,AUTO_RESOLVED,EXCEPTION_DELAYED_SETTLEMENT,36313.00,35456.01,35456.01,0.00,setl_00753835,2026-06-19,I5_settlement_within_window,,,,,,All amounts reconcile exactly; the only discrepancy is timing against the expected settlement window.,No action; classified and closed by the deterministic engine.
pay_0079D5A8,ord_00792D14,pay_0079D5A8,MATCHED,,40812.00,39848.84,39848.84,,setl_0079E47D,2026-06-08,,,,,,,,
pay_0080D9D5,ord_00806C87,pay_0080D9D5,MATCHED,,8449.00,8249.60,8249.60,,setl_0080E419,2026-06-10,,,,,,,,
pay_00848F3C,ord_00843587,pay_00848F3C,MATCHED,,4372.00,4268.82,4268.82,,setl_0084C0C3,2026-06-27,,,,,,,,
pay_00911A5A,ord_0091709C,pay_00911A5A,MATCHED,,16649.00,16256.08,16256.08,,setl_009162B0,2026-06-16,,,,,,,,
pay_0094BD06,ord_009489B8,pay_0094BD06,MATCHED,,18860.00,18414.90,18414.90,,setl_00941212,2026-06-20,,,,,,,,
pay_0100B0A5,ord_010052BF,pay_0100B0A5,MATCHED,,973.00,950.04,950.04,,setl_0100E373,2026-07-02,,,,,,,,
pay_01013516,ord_0101ABDC,pay_01013516,MATCHED,,4432.00,4327.40,4327.40,,setl_01011AEE,2026-06-19,,,,,,,,
pay_01072D04,ord_0107AAF8,pay_01072D04,AUTO_RESOLVED,EXCEPTION_DELAYED_SETTLEMENT,22597.00,22063.71,22063.71,0.00,setl_01075394,2026-07-09,I5_settlement_within_window,,,,,,All amounts reconcile exactly; the only discrepancy is timing against the expected settlement window.,No action; classified and closed by the deterministic engine.
pay_0108B5A2,ord_01089F2B,pay_0108B5A2,AUTO_RESOLVED,EXCEPTION_UNEXPLAINED_SHORTFALL,2473.00,2414.64,1760.69,653.95,setl_01087B3C,2026-06-21,I3_net_matches_shadow_ledger,,openai/gpt-oss-120b,unlinked_partial_refund,VERIFIED,7 of 7 evidence checks passed,"Hypothesis 'unlinked_partial_refund' verified independently: 7 of 7 evidence checks passed, and the shadow ledger balances once the evidence is applied.",No action; evidence-backed classification closed automatically.
pay_0109BCD2,ord_01093085,pay_0109BCD2,HUMAN_REVIEW_REQUIRED,EXCEPTION_MISSING_SETTLEMENT,3797.00,3707.39,,3707.39,,,,,,,,,"Captured funds have no settlement record. The money is outstanding; LedgerGuard cannot close this, it can only report it.",Raise a settlement query with the provider for this payment.
pay_0116305E,ord_0116CDC5,pay_0116305E,MATCHED,,6723.00,6564.34,6564.34,,setl_01161744,2026-06-18,,,,,,,,
pay_01178A3E,ord_01172F00,pay_01178A3E,MATCHED,,94081.00,91860.69,91860.69,,setl_011718D3,2026-07-02,,,,,,,,
pay_0118AFAF,ord_011850AD,pay_0118AFAF,MATCHED,,14614.00,14269.11,14269.11,,setl_01184BC1,2026-06-27,,,,,,,,
pay_0120EB60,ord_01207C31,pay_0120EB60,AUTO_RESOLVED,EXCEPTION_FEE_MISMATCH,68636.00,67016.19,66348.31,-667.88,setl_0120DD92,2026-06-24,I2_fees_and_tax_match_schedule; I3_net_matches_shadow_ledger,,,,,,Fee and tax reconciled against the independent fee schedule; the exact variance is quantified.,No action; classified and closed by the deterministic engine.
pay_01228658,ord_01223D5B,pay_01228658,MATCHED,,37793.00,36901.09,36901.09,,setl_0122901F,2026-06-16,,,,,,,,
pay_01413873,ord_01413DD3,pay_01413873,AUTO_RESOLVED,EXCEPTION_DELAYED_SETTLEMENT,23702.00,23142.63,23142.63,0.00,setl_01411CE4,2026-06-27,I5_settlement_within_window,,,,,,All amounts reconcile exactly; the only discrepancy is timing against the expected settlement window.,No action; classified and closed by the deterministic engine.
pay_014252C5,ord_0142EE57,pay_014252C5,AUTO_RESOLVED,EXCEPTION_UNEXPLAINED_SHORTFALL,5486.00,5356.53,3553.63,1802.90,setl_0142AAB7,2026-06-07,I3_net_matches_shadow_ledger,,openai/gpt-oss-120b,unlinked_partial_refund,VERIFIED,7 of 7 evidence checks passed,"Hypothesis 'unlinked_partial_refund' verified independently: 7 of 7 evidence checks passed, and the shadow ledger balances once the evidence is applied.",No action; evidence-backed classification closed automatically.
pay_0144EB18,ord_0144A315,pay_0144EB18,MATCHED,,4791.00,4677.93,4677.93,,setl_0144E72A,2026-06-15,,,,,,,,
pay_01452BE5,ord_0145F37E,pay_01452BE5,HUMAN_REVIEW_REQUIRED,EXCEPTION_UNEXPLAINED_SHORTFALL,66218.00,64655.26,63379.61,1275.65,setl_014565C9,2026-06-11,I3_net_matches_shadow_ledger,,openai/gpt-oss-120b,insufficient_evidence,UNVERIFIED,,"The investigator found no explanation it could support from the available records: The settlement net shortfall matches an unlinked refund of 127565 paise, but no record links this refund (rfnd_027971A8) to payment pay_01452BE5, so the explanation cannot be proven with current data.","Obtain the missing record from the provider, or confirm the deduction manually before closing."
pay_0146953B,ord_014653BA,pay_0146953B,MATCHED,,773.00,754.76,754.76,,setl_0146FB1E,2026-06-23,,,,,,,,
pay_01471ED3,ord_0147147E,pay_01471ED3,MATCHED,,82973.00,81014.84,81014.84,,setl_0147EB8C,2026-06-17,,,,,,,,
pay_014991AD,ord_0149658B,pay_014991AD,MATCHED,,3859.00,1430.08,1430.08,,setl_01497F90,2026-06-24,,,,,,,,
pay_01533A32,ord_015361D5,pay_01533A32,MATCHED,,88500.00,86411.40,86411.40,,setl_0153B769,2026-06-20,,,,,,,,
pay_01577FB6,ord_01572D20,pay_01577FB6,MATCHED,,12504.00,12208.91,12208.91,,setl_0157B883,2026-06-23,,,,,,,,
pay_0158A5A3,ord_01583E2B,pay_0158A5A3,MATCHED,,16988.00,16587.08,16587.08,,setl_015884C7,2026-06-08,,,,,,,,
pay_0163182C,ord_0163C42A,pay_0163182C,MATCHED,,7610.00,7430.40,7430.40,,setl_0163E5D0,2026-06-30,,,,,,,,
pay_0166A046,ord_0166AF8C,pay_0166A046,RECOMMEND_REVIEW,EXCEPTION_UNEXPLAINED_SHORTFALL,20802.00,20311.07,16192.77,4118.30,setl_0166B952,2026-06-29,I3_net_matches_shadow_ledger,,openai/gpt-oss-120b,unlinked_partial_refund,VERIFIED,7 of 7 evidence checks passed,Evidence verified (7 of 7 evidence checks passed) but the investigator did not request resolution.,Confirm the classification and close.
pay_0168813A,ord_0168E98E,pay_0168813A,MATCHED,,8907.00,8696.79,8696.79,,setl_01687982,2026-06-10,,,,,,,,
pay_0170BEB1,ord_017036C8,pay_0170BEB1,HUMAN_REVIEW_REQUIRED,EXCEPTION_UNEXPLAINED_SHORTFALL,3367.00,3287.54,2633.59,653.95,setl_01705541,2026-06-30,I3_net_matches_shadow_ledger,,openai/gpt-oss-120b,insufficient_evidence,UNVERIFIED,,"The investigator found no explanation it could support from the available records: The observed shortfall matches the amount of an unlinked refund (rfnd_0108D9BC), but there is no record linking that refund to payment pay_0170BEB1; without a payment_id relationship the explanation cannot be proven from the supplied data.","Obtain the missing record from the provider, or confirm the deduction manually before closing."
pay_01747F5F,ord_0174FBFE,pay_01747F5F,MATCHED,,88531.00,39873.02,39873.02,,setl_01748A84,2026-06-05,,,,,,,,
pay_0176E523,ord_01765A40,pay_0176E523,AUTO_RESOLVED,EXCEPTION_DUPLICATE_RECORD,14742.00,14394.09,14394.09,0.00,setl_0176A394,2026-06-14,I6_bank_credit_matches_settlement,,,,,,"Duplicate ingestion proven by identifier and content match; the duplicate is suppressed, not paid.",No action; classified and closed by the deterministic engine.
pay_01826F99,ord_018231AC,pay_01826F99,MATCHED,,43851.00,42816.12,42816.12,,setl_018234B8,2026-06-14,,,,,,,,
pay_01837D97,ord_01833DE5,pay_01837D97,HUMAN_REVIEW_REQUIRED,EXCEPTION_MISSING_SETTLEMENT,15245.00,14885.22,,14885.22,,,,,,,,,"Captured funds have no settlement record. The money is outstanding; LedgerGuard cannot close this, it can only report it.",Raise a settlement query with the provider for this payment.
pay_01867943,ord_01868E64,pay_01867943,MATCHED,,88802.00,86706.27,86706.27,,setl_01868E9C,2026-06-03,,,,,,,,
pay_0190477E,ord_019032A5,pay_0190477E,HUMAN_REVIEW_REQUIRED,EXCEPTION_UNEXPLAINED_SHORTFALL,62100.00,60634.44,58831.54,1802.90,setl_019055C7,2026-06-16,I3_net_matches_shadow_ledger,,openai/gpt-oss-120b,insufficient_evidence,UNVERIFIED,,"The investigator found no explanation it could support from the available records: A refund of 180290 paise (rfnd_0142A640) exists matching the net shortfall, but there is no record linking this refund to payment pay_0190477E, so the exception cannot be definitively explained with the available data.","Obtain the missing record from the provider, or confirm the deduction manually before closing."
pay_01952C76,ord_0195B00F,pay_01952C76,AUTO_RESOLVED,EXCEPTION_UNEXPLAINED_SHORTFALL,32774.00,32000.53,25012.43,6988.10,setl_0195EB8A,2026-06-29,I3_net_matches_shadow_ledger,,openai/gpt-oss-20b,unlinked_partial_refund,VERIFIED,7 of 7 evidence checks passed,"Hypothesis 'unlinked_partial_refund' verified independently: 7 of 7 evidence checks passed, and the shadow ledger balances once the evidence is applied.",No action; evidence-backed classification closed automatically.
pay_02146DF9,ord_0214D7B2,pay_02146DF9,AUTO_RESOLVED,EXCEPTION_FEE_MISMATCH,3707.00,3619.51,3585.29,-34.22,setl_0214DD7F,2026-06-24,I2_fees_and_tax_match_schedule; I3_net_matches_shadow_ledger,,,,,,Fee and tax reconciled against the independent fee schedule; the exact variance is quantified.,No action; classified and closed by the deterministic engine.
pay_0215D5C8,ord_0215660E,pay_0215D5C8,MATCHED,,55927.00,54607.12,54607.12,,setl_02154568,2026-06-18,,,,,,,,
pay_02164433,ord_02166208,pay_02164433,AUTO_RESOLVED,EXCEPTION_UNEXPLAINED_SHORTFALL,58318.00,56941.70,28571.00,28370.70,setl_021662E3,2026-06-06,I3_net_matches_shadow_ledger,,openai/gpt-oss-20b,unlinked_partial_refund,VERIFIED,7 of 7 evidence checks passed,"Hypothesis 'unlinked_partial_refund' verified independently: 7 of 7 evidence checks passed, and the shadow ledger balances once the evidence is applied.",No action; evidence-backed classification closed automatically.
pay_0221829B,ord_0221DA76,pay_0221829B,MATCHED,,24261.00,23688.44,23688.44,,setl_0221B487,2026-06-21,,,,,,,,
pay_0222B5A2,ord_0222A4DB,pay_0222B5A2,MATCHED,,2151.00,2100.24,2100.24,,setl_0222A8F8,2026-06-10,,,,,,,,
pay_02282D23,ord_022823A0,pay_02282D23,MATCHED,,20915.00,10265.16,10265.16,,setl_0228BF22,2026-06-15,,,,,,,,
pay_0233DB5A,ord_0233D04E,pay_0233DB5A,HUMAN_REVIEW_REQUIRED,EXCEPTION_MISSING_SETTLEMENT,55068.00,53768.40,,53768.40,,,,,,,,,"Captured funds have no settlement record. The money is outstanding; LedgerGuard cannot close this, it can only report it.",Raise a settlement query with the provider for this payment.
pay_02353003,ord_02351954,pay_02353003,MATCHED,,4585.00,2465.04,2465.04,,setl_023532F8,2026-06-27,,,,,,,,
pay_02375EB9,ord_0237CE90,pay_02375EB9,MATCHED,,3547.00,3463.29,3463.29,,setl_0237FEAA,2026-06-30,,,,,,,,
pay_0238E06D,ord_02387E0C,pay_0238E06D,MATCHED,,2874.00,2806.17,2806.17,,setl_02385C94,2026-06-11,,,,,,,,
pay_02424FCB,ord_0242527C,pay_02424FCB,AUTO_RESOLVED,EXCEPTION_DUPLICATE_RECORD,91991.00,89820.01,89820.01,-91991.00,setl_0242F023,2026-06-10,,,,,,,"Duplicate ingestion proven by identifier and content match; the duplicate is suppressed, not paid.",No action; classified and closed by the deterministic engine.
pay_02456E14,ord_02451272,pay_02456E14,AUTO_RESOLVED,EXCEPTION_UNEXPLAINED_SHORTFALL,3894.00,3802.10,1495.00,2307.10,setl_0245CA4D,2026-06-15,I3_net_matches_shadow_ledger,,openai/gpt-oss-20b,unlinked_partial_refund,VERIFIED,7 of 7 evidence checks passed,"Hypothesis 'unlinked_partial_refund' verified independently: 7 of 7 evidence checks passed, and the shadow ledger balances once the evidence is applied.",No action; evidence-backed classification closed automatically.
